list_size,threads,time_seconds,speedup_serial,efficiency_serial,speedup_1thread,efficiency_1thread
50000,0,0.8612,1.00,100.00,0.00,0.00
50000,1,1.3667,0.63,63.01,1.00,100.00
50000,2,0.7378,1.17,58.37,1.85,92.62
50000,4,0.5041,1.71,42.71,2.71,67.78
100000,0,4.4657,1.00,100.00,0.00,0.00
100000,1,5.7294,0.78,77.94,1.00,100.00
100000,2,3.2276,1.38,69.18,1.78,88.76
100000,4,2.1576,2.07,51.74,2.66,66.39
500000,0,124.8268,1.00,100.00,0.00,0.00
500000,1,148.8357,0.84,83.87,1.00,100.00
500000,2,83.3223,1.50,74.91,1.79,89.31
500000,4,54.9387,2.27,56.80,2.71,67.73
50000,0,0.8718,1.00,100.00,0.00,0.00
50000,1,1.3977,0.62,62.38,1.00,100.00
50000,2,0.7626,1.14,57.16,1.83,91.64
50000,4,0.5542,1.57,39.32,2.52,63.04
100000,0,4.4542,1.00,100.00,0.00,0.00
100000,1,5.7372,0.78,77.64,1.00,100.00
100000,2,3.1187,1.43,71.41,1.84,91.98
100000,4,2.1589,2.06,51.58,2.66,66.44
500000,0,124.9422,1.00,100.00,0.00,0.00
500000,1,150.4710,0.83,83.03,1.00,100.00
500000,2,82.8512,1.51,75.40,1.82,90.81
500000,4,54.7280,2.28,57.07,2.75,68.74
50000,0,0.8703,1.00,100.00,0.00,0.00
50000,1,1.3583,0.64,64.08,1.00,100.00
50000,2,0.7875,1.11,55.26,1.72,86.24
50000,4,0.5587,1.56,38.94,2.43,60.78
100000,0,4.4696,1.00,100.00,0.00,0.00
100000,1,5.7325,0.78,77.97,1.00,100.00
100000,2,3.1332,1.43,71.33,1.83,91.48
100000,4,1.9879,2.25,56.21,2.88,72.09
500000,0,124.9389,1.00,100.00,0.00,0.00
500000,1,148.6077,0.84,84.07,1.00,100.00
500000,2,82.7251,1.51,75.51,1.80,89.82
500000,4,53.5786,2.33,58.30,2.77,69.34
50000,0,0.8571,1.00,100.00,0.00,0.00
50000,1,1.3779,0.62,62.21,1.00,100.00
50000,2,0.7429,1.15,57.68,1.85,92.73
50000,4,0.4895,1.75,43.78,2.81,70.37
100000,0,4.4714,1.00,100.00,0.00,0.00
100000,1,5.6984,0.78,78.47,1.00,100.00
100000,2,3.1075,1.44,71.94,1.83,91.69
100000,4,2.0271,2.21,55.14,2.81,70.28
500000,0,124.7042,1.00,100.00,0.00,0.00
500000,1,149.5750,0.83,83.37,1.00,100.00
500000,2,82.9550,1.50,75.16,1.80,90.15
500000,4,57.1465,2.18,54.55,2.62,65.43
50000,0,0.8548,1.00,100.00,0.00,0.00
50000,1,1.4228,0.60,60.08,1.00,100.00
50000,2,0.7486,1.14,57.09,1.90,95.03
50000,4,0.5438,1.57,39.29,2.62,65.41
100000,0,4.4590,1.00,100.00,0.00,0.00
100000,1,5.7133,0.78,78.05,1.00,100.00
100000,2,3.1735,1.41,70.25,1.80,90.02
100000,4,2.0832,2.14,53.51,2.74,68.56
500000,0,125.3060,1.00,100.00,0.00,0.00
500000,1,149.4549,0.84,83.84,1.00,100.00
500000,2,83.6544,1.50,74.90,1.79,89.33
500000,4,53.3868,2.35,58.68,2.80,69.99
